Group,PrivateCreator,Elem,Name,Action
0002,,0000,File Meta Information Group Length,@keep()
0002,,0001,File Meta Information Version,@keep()
0002,,0002,Media Storage SOP Class UID,@keep()
0002,,0003,Media Storage SOP Instance UID,@hashuid(@UIDROOT,this)
0002,,0010,Transfer Syntax UID,@keep()
0002,,0012,Implementation Class UID,@keep()
0002,,0013,ImplementationVersionName,@keep()
0008,,0005,SpecificCharacterSet,@keep()
0008,,0008,ImageType,@keep()
0008,,0012,InstanceCreationDate,@hashdate(this,PatientID)
0008,,0013,InstanceCreationTime,@keep()
0008,,0016,SOPClassUID,@if(SOPClassUID,contains,"1.2.840.10008.5.1.4.1.1.7"){@quarantine()}{@keep()}
0008,,0018,SOPInstanceUID,@hashuid(@UIDROOT,this)
0008,,0020,StudyDate,@hashdate(this,PatientID)
0008,,0021,SeriesDate,@hashdate(this,PatientID)
0008,,0022,AcquisitionDate,@hashdate(this,PatientID)
0008,,0023,ContentDate,@hashdate(this,PatientID)
0008,,0030,StudyTime,@keep()
0008,,0031,SeriesTime,@keep()
0008,,0032,AcquisitionTime,@keep()
0008,,0033,ContentTime,@keep()
0008,,0034,OverlayTime,@keep()
0008,,0035,CurveTime,@keep()
0008,,0050,AccessionNumber,@hashptid(@SITEID,this,16)
0008,,0060,Modality,@if(Modality,matches,"SC|DOC|US"){@quarantine()}{@keep()}
0008,,0070,Manufacturer,@keep()
0008,,0080,InstitutionName,@keep()
0008,,0100,CodeValue,@keep()
0008,,0102,CodingSchemeDesignator,@keep()
0008,,0103,CodingSchemeVersion,@keep()
0008,,0104,CodeMeaning,@keep()
0008,,1030,StudyDescription,@keep()
0008,,1090,ManufacturerModelName,@keep()
0008,,1110,RefStudySeq,@process()
0008,,1115,ReferencedSeriesSequence,@process()
0008,,1140,RefImageSeq,@process()
0008,,1150,RefSOPClassUID,@keep()
0008,,1155,RefSOPInstanceUID,@hashuid(@UIDROOT,this)
0008,,1160,ReferencedFrameNumber,@keep()
0008,,1199,ReferencedSOPSequence,@process()
0008,,1250,RelatedSeriesSequence,@process()
0008,,2111,DerivationDescription,@keep()
0008,,2112,SourceImageSeq,@process()
0008,,2218,AnatomicRegionSequence,@process()
0008,,9007,Frame Type,@keep()
0008,,9124,DerivationImageSequence,@process()
0008,,9205,PixelPresentation,@keep()
0008,,9206,VolumetricProperties,@keep()
0008,,9207,VolumeBasedCalculationTechnique,@keep()
0008,,9208,ComplexImageComponent,@keep()
0008,,9209,AcquisitionContrast,@keep()
0008,,9215,DerivationCodeSequence,@keep()
0008,,002A,AcquisitionDatetime,@hashdate(this,PatientID)
0008,,010C,CodingSchemeUID,@keep()
