Group,PrivateCreator,Elem,Name,Action
0002,,0013,ImplementationVersionName,@keep()
0008,,0005,SpecificCharacterSet,@keep()
0008,,0008,ImageType,@keep()
0008,,0012,InstanceCreationDate,@keep()
0008,,0013,InstanceCreationTime,@keep()
0008,,0016,SOPClassUID,@keep()
0008,,0018,SOPInstanceUID,@keep()
0008,,0020,StudyDate,@keep()
0008,,0021,SeriesDate,@keep()
0008,,0022,AcquisitionDate,@keep()
0008,,0023,ContentDate,@keep()
0008,,002A,AcquisitionDateTime,@keep()
0008,,0030,StudyTime,@keep()
0008,,0031,SeriesTime,@keep()
0008,,0032,AcquisitionTime,@keep()
0008,,0033,ContentTime,@keep()
0008,,0050,AccessionNumber,C10_NOTFOUND
0008,,0060,Modality,@keep()
0008,,0061,ModalitiesinStudy,@keep()
0008,,0064,ConversionType,@keep()
0008,,0068,PresentationIntentType,@keep()
0008,,0070,Manufacturer,@keep()
0008,,0080,InstitutionName,@keep()
0008,,0081,InstitutionAddress,@keep()
0008,,0090,ReferringPhysicianName,@empty()
0008,,1010,StationName,@empty()
0008,,1030,StudyDescription,@keep()
0008,,103E,SeriesDescription,@keep()
0008,,1080,AdmittingDiagnosesDescription,@keep()
0008,,1090,ManufacturerModelName,@keep()
0008,,1110,ReferencedStudySequence,@keep()
0008,,1111,ReferencedPerformedProcedureStepSequence,@keep()
0008,,1115,ReferencedSeriesSequence,@keep()
0008,,113A,ReferencedWaveformSequence,@keep()
0008,,1140,ReferencedImageSequence,@keep()
0008,,114A,ReferencedInstanceSequence,@keep()
0008,,1150,ReferencedSOPClassUID,@keep()
0008,,1155,ReferencedSOPInstanceUID,@keep()
0008,,1156,DefinitionSourceSequence,@keep()
0008,,1160,ReferencedFrameNumber,@keep()
0008,,1199,ReferencedSOPSequence,@keep()
0008,,1200,StudiesContainingOtherReferencedInstanceSequences,@keep()
0008,,1250,RelatedSeriesSequence,@keep()
0008,,2112,SourceImageSequence,@keep()
0008,,2142,StartTrim,@keep()
0008,,2143,StopTrim,@keep()
0008,,2144,RecommendedDisplayFrameRate,@keep()
0008,,2228,PrimaryAnatomicStructureSequence,@keep()
0008,,2230,PrimaryAnatomicStructureModifierSequence,@keep()
0008,,3010,IrradiationEventUID,@keep()
0008,,3012,RadiopharmaceuticalAdministrationEventUID,@keep()
0008,,9007,FrameType,@keep()
0008,,9092,ReferencedImageEvidenceSequence,@keep()
0008,,9121,ReferencedRawDataSequence,@keep()
0008,,9124,DerivationImageSequence,@keep()
0008,,9154,SourceImageEvidenceSequence,@keep()
0008,,9205,PixelPresentation,@keep()
0008,,9206,VolumetricProperties,@keep()
0008,,9207,VolumeBasedCalculationTechnique,@keep()
0008,,9208,ComplexImageComponent,@keep()
0008,,9209,AcquisitionContrast,@keep()
0008,,9215,DerivationCodeSequence,@keep()
0008,,9237,ReferencedPresentationStateSequence,@keep()
0008,,9410,ReferencedOtherPlaneSequence,@keep()
0008,,9458,FrameDisplaySequence,@keep()
0008,,9459,RecommendedDisplayFrameRateinFloat,@keep()
0008,,9460,SkipFrameRangeFlag,@keep()
0010,,0010,PatientName,@remove()
0010,,0020,PatientID,D1_NOTFOUND
0010,,0021,IssuerofPatientID,@empty()
0010,,0030,PatientBirthDate,C8_NOTFOUND
